City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mareeba,40,AU,1575003402,52,-16.99,145.42,88,6.7
Albany,90,US,1575003402,55,42.65,-73.75,34,5.1
Anori,97,BR,1575003402,78,-3.74,-61.66,77,0.72
New Norfolk,75,AU,1575003402,47,-42.78,147.06,61,9.3
Castro,90,CL,1575003403,93,-42.48,-73.76,48,2.1
Iberia,100,PE,1575003403,98,-11.41,-69.49,72,1.17
Cidreira,0,BR,1575003403,69,-30.17,-50.22,68,11.25
Cape Town,75,ZA,1575003240,82,-33.93,18.42,66,4.1
Halifax,90,CA,1575003405,100,44.65,-63.58,38,11.8
Butaritari,100,KI,1575003406,74,3.07,172.79,84,3.74
Leningradskiy,0,RU,1575003406,90,69.38,178.42,-2,3.43
Rikitea,80,PF,1575003406,81,-23.12,-134.97,79,2.18
Emerald,0,AU,1575003406,20,-23.53,148.16,96,5.1
Vostok,65,RU,1575003406,87,46.45,135.83,6,2.83
Jinxiang,100,CN,1575003407,33,35.07,116.31,48,3.7
Provideniya,75,RU,1575003407,72,64.42,-173.23,16,1.0
Mackenzie,20,CA,1575003412,84,55.34,-123.09,3,1.0
Pisco,80,PE,1575003412,82,-13.71,-76.2,66,6.2
Barrow,90,AR,1575003412,86,-38.31,-60.23,58,3.33
Busselton,24,AU,1575003412,21,-33.64,115.35,77,4.67
Bonavista,100,CA,1575003412,85,48.65,-53.11,35,7.15
Cedar City,90,US,1575003413,100,37.68,-113.06,34,3.1
Hobart,75,AU,1575003413,47,-42.88,147.33,61,9.3
Bud,100,NO,1575003413,59,62.91,6.91,36,3.6
Kapaa,40,US,1575003345,74,22.08,-159.32,79,3.1
Mataura,100,NZ,1575003413,63,-46.19,168.86,58,4.92
Huarmey,91,PE,1575003413,87,-10.07,-78.15,63,0.32
Nanortalik,24,GL,1575003414,55,60.14,-45.24,35,3.33
Guerrero Negro,75,MX,1575003414,78,27.97,-114.04,65,8.31
Saskylakh,100,RU,1575003414,98,71.97,114.09,-17,4.26
Bethel,90,US,1575003414,92,60.79,-161.76,21,2.1
Manica,40,MZ,1575003414,94,-18.94,32.88,68,1.4
Beloha,0,MG,1575003414,47,-25.17,45.06,81,4.93
Mount Gambier,90,AU,1575003414,54,-37.83,140.78,59,5.1
Santa Ana,100,MX,1575003414,85,30.54,-111.12,63,1.34
Pangoa,100,PE,1575003415,99,-12.12,-73.0,71,1.58
Punta Arenas,75,CL,1575003415,85,-53.16,-70.91,45,3.1
Batagay,4,RU,1575003415,87,67.65,134.64,-22,2.2
Riverton,90,US,1575003415,92,43.02,-108.38,21,1.37
Ilulissat,100,GL,1575003415,45,69.22,-51.1,25,5.7
Kulu,78,CD,1575003416,92,3.47,23.69,74,0.21
Atuona,0,PF,1575003416,76,-9.8,-139.03,80,8.14
Camacha,40,PT,1575003416,93,33.08,-16.33,65,1.0
Avarua,0,CK,1575003416,65,-21.21,-159.78,81,1.0
Bredasdorp,33,ZA,1575003417,82,-34.53,20.04,66,4.1
Bluff,0,AU,1575003417,17,-23.58,149.07,97,8.06
Klaksvik,99,FO,1575003422,74,62.23,-6.59,36,3.6
Upata,81,VE,1575003422,97,8.02,-62.41,70,1.26
Lerwick,100,GB,1575003423,80,60.15,-1.15,38,6.7
Ponta do Sol,100,BR,1575003423,96,-20.63,-46.0,68,2.69
Dawei,30,MM,1575003423,64,14.07,98.19,87,4.78
Fortuna,75,US,1575003423,100,40.6,-124.16,36,3.1
Ushuaia,40,AR,1575003383,60,-54.81,-68.31,43,3.6
Coahuayana,0,MX,1575003423,77,18.62,-100.35,72,1.13
Dikson,36,RU,1575003423,95,73.51,80.55,-16,2.52
Thompson,40,CA,1575003424,84,55.74,-97.86,2,1.16
Gorontalo,76,ID,1575003424,78,0.54,123.06,84,2.38
Lebu,28,ET,1575003425,74,8.96,38.73,59,0.64
Grindavik,75,IS,1575003425,67,63.84,-22.43,38,1.0
Acapulco,12,MX,1575003425,75,16.86,-99.88,75,1.79
San Quintin,53,PH,1575003425,58,17.54,120.52,82,5.74
Ahipara,49,NZ,1575003425,79,-35.17,173.16,66,2.74
Tuktoyaktuk,75,CA,1575003426,92,69.44,-133.03,23,9.8
Hermanus,56,ZA,1575003426,84,-34.42,19.24,66,2.24
Luderitz,5,NA,1575003426,93,-26.65,15.16,59,4.1
Sistranda,20,NO,1575003426,59,63.73,8.83,41,10.3
Upernavik,100,GL,1575003426,71,72.79,-56.15,28,3.36
Qaanaaq,100,GL,1575003427,94,77.48,-69.36,14,2.94
Puerto Escondido,75,MX,1575003427,69,15.86,-97.07,81,2.6
Kaitangata,100,NZ,1575003427,66,-46.28,169.85,56,4.92
Puerto Ayora,70,EC,1575003428,90,-0.74,-90.35,71,0.89
Kalemie,100,CD,1575003428,92,-5.95,29.2,69,1.77
Petropavlovsk-Kamchatskiy,20,RU,1575003428,67,53.05,158.65,21,2.0
Jamestown,69,AU,1575003428,26,-33.21,138.6,77,9.17
Alta Floresta,92,BR,1575003428,99,-9.87,-56.08,70,0.57
Abha,75,SA,1575003429,76,18.22,42.5,57,1.6
Esperance,90,AU,1575003429,59,-33.86,121.89,61,7.2
Mahebourg,40,MU,1575003429,74,-20.41,57.7,83,1.5
Caravelas,96,BR,1575003429,96,-17.73,-39.27,71,3.38
San Ramon de la Nueva Oran,53,AR,1575003429,75,-23.13,-64.33,70,0.71
Kruisfontein,49,ZA,1575003430,37,-34.0,24.73,80,1.88
Parakou,51,BJ,1575003430,28,9.34,2.63,70,1.57
Saint Anthony,75,US,1575003430,92,43.97,-111.68,25,3.1
Kawambwa,63,ZM,1575003430,81,-9.8,29.07,72,0.77
Tiznit,80,MA,1575003431,35,29.7,-9.73,59,1.29
Karratha,0,AU,1575003431,68,-20.74,116.85,83,8.95
Mogoytuy,61,RU,1575003431,81,51.28,114.93,2,2.33
Mkushi,90,ZM,1575003431,83,-13.61,29.4,70,3.86
Pangody,0,RU,1575003431,97,65.85,74.49,-14,3.42
Sao Joao da Barra,100,BR,1575003432,95,-21.64,-41.05,73,4.42
Alim,43,CF,1575003432,46,6.02,14.65,71,0.56
Yerbogachen,81,RU,1575003432,88,61.28,108.01,5,5.41
Kodiak,90,US,1575003437,86,39.95,-94.76,34,2.6
Jacmel,16,HT,1575003438,65,18.24,-72.54,81,4.6
Makurdi,3,NG,1575003438,83,7.73,8.54,74,1.55
Pevek,43,RU,1575003438,88,69.7,170.27,-13,1.08
Suluq,39,LY,1575003438,69,31.67,20.25,58,2.55
East London,12,ZA,1575003438,83,-33.02,27.91,72,7.7
Lavrentiya,16,RU,1575003439,66,65.58,-170.99,16,1.82
Las Vegas,90,US,1575003288,74,36.17,-115.15,43,4.1
Mapimi,75,MX,1575003440,43,25.82,-103.85,72,3.1
Hilo,1,US,1575003440,83,19.71,-155.08,72,2.1
Khatanga,100,RU,1575003440,95,71.98,102.47,-18,2.4
Kaohsiung,20,TW,1575003440,57,22.62,120.31,79,4.1
Lompoc,75,US,1575003240,93,34.64,-120.46,45,1.5
Paamiut,75,GL,1575003440,42,61.99,-49.67,30,3.52
Saint George,20,GR,1575003441,87,39.45,22.34,54,1.5
Klyuchi,96,RU,1575003441,79,52.25,79.17,13,4.72
Glamoc,100,BA,1575003441,97,44.05,16.85,40,3.54
Birecik,75,TR,1575003441,60,37.03,37.98,42,0.5
Airai,80,TL,1575003441,32,-8.93,125.41,88,3.43
Malanje,100,AO,1575003441,91,-9.54,16.35,67,2.52
Vallenar,0,CL,1575003442,94,-28.58,-70.76,52,1.09
Pochutla,75,MX,1575003442,69,15.74,-96.47,81,2.6
Torbay,90,CA,1575003442,95,47.66,-52.73,36,7.2
